AT2G26510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G12050,GO:0007623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G10870,GO:0009073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G11150,GO:0009651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G11240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G11260,GO:0010114,GO:0010017,GO:0080167,GO:0010224,GO:0009737,GO:0010099,GO:0009740,GO:0010218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G09590,GO:0009408,GO:0009615,GO:0009651,GO:0046686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G08520,GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G08640,GO:0009733,GO:0009813,GO:0080167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G07440,GO:0009651,GO:0046686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G07690,GO:0010438,GO:0009414,GO:0009611,GO:0009753,GO:0009739,GO:0009751,GO:0050832,GO:0006355,GO:0009617,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G07010,GO:0009753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G06530,GO:0009414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G05690,GO:0010224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G05410,GO:0009408,GO:0009414,GO:0010224,GO:0010286,GO:0042542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G05270,GO:0080167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G04490,GO:0010189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G04040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G03760,GO:0009294,GO:0009617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G03555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G02820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G01810,GO:0009738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G01340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G01500,GO:0010117,GO:0010206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3G63150,GO:0009737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3G62410,GO:0009416,GO:0070417,GO:0009744,GO:0034605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3G61890,GO:0006970,GO:0009414,GO:0009615,GO:0009737,GO:0045893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3G61460,GO:0009741,GO:0010200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3G61440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3G61580,GO:0070417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3G61430,GO:0006833,GO:0009414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3G61590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
